spssId,spssName,gaiaID,RA,Dec,Bmag,Vmag,spType,inV1,inV2,flag,Notes
1,G191-B2B,266077145295627520,76.3776688394675,52.8306735144629,11.444,11.792,DA0,yes,yes,0,-
2,GD71,3348071631670500736,88.1154373030649,15.8862393152329,12.792,13.032,DA1,yes,yes,0,-
3,GD153,3944400490365194368,194.259492927754,22.0303852601561,13.11,13.399,DA1,yes,yes,0,-
5,EG21,4646535078125821568,47.6297315226949,-68.6013979360917,11.403,11.4,DA3,yes,yes,0,-
6,GD50,3251244858154433536,57.2094843699643,-0.976360396260623,13.789,14.07,DA2,yes,yes,0,-
7,HZ2,3304090857318319232,63.1817478726671,11.8632007465794,13.791,13.889,DA3,yes,yes,1,Warning minor spectral defects (<3%)
8,LTT3218,5639391810273308416,130.379501356322,-32.9364949656501,12.085,11.87,DA,no,yes,0,-
9,LTT2415,2910503176753011840,89.1042803836178,-27.8596884269214,12.613,12.234,G,yes,yes,0,-
10,GD108,3772994667772794112,150.196669248863,-7.55855757305175,13.364,13.588,B,yes,yes,2,Warning spectral defects (>3%)
11,Feige34,781164326766404736,159.903150633932,43.1024453451563,10.836,11.197,DO,yes,yes,0,-
12,LTT4364,5332606522595645952,176.456646617301,-64.843052846102,11.697,11.496,DQ6,no,yes,1,Warning minor spectral defects (<3%)
13,Feige66,3959631234670040704,189.347991411561,25.0665089918476,10.228,10.523,O,yes,yes,2,Warning spectral defects (>3%)
14,HZ44,1473687671071803520,200.89656571887,36.1331871159112,11.381,11.684,O,no,yes,0,-
16,EG274,6018034958869558912,245.891435950528,-39.2294874647434,10.881,11.029,DA2,yes,yes,0,-
17,LTT7987,6749419923164242816,302.735116346064,-30.2196160971714,12.282,12.26,DA4,yes,yes,0,-
18,BD+284211,1897151272994229120,327.795749146719,28.8637379534292,10.202,10.539,Op,yes,no,-1,Variable - rejected
19,G93-48,2693940725141960192,328.105813845295,2.38743545636803,12.741,12.773,DA3,yes,yes,0,-
20,BD+174708,1776289248313154688,332.88309762546,18.0930906551312,9.895,9.474,F8,yes,no,-1,Variable - rejected
21,LTT9239,2398029465700538880,343.171355002134,-20.5938953916408,12.7,12.098,F,yes,yes,0,-
23,Feige110,2633603478379307904,349.993293938936,-5.16560572558949,11.547,11.859,O,yes,yes,0,-
24,HILT600,3126052883671520896,101.305714098523,2.13741104881278,10.637,10.446,B1,yes,yes,2,Warning spectral defects (>3%)
26,Feige56,3918811315733520640,181.696779544574,11.6701540015174,10.946,11.077,B5p,yes,yes,1,Warning minor spectral defects (<3%)
28,SA105-663,3662718736748087424,204.37641992545,-0.221457108159754,9.097,8.773,F2,no,yes,1,Warning minor spectral defects (<3%)
29,SA105-448,3662598271505616640,204.446040820163,-0.625912787973247,9.386,9.149,A3,yes,no,-1,Variable - rejected
30,HD121968,3657546118655166080,209.713196014514,-2.91445823449447,10.072,10.252,B1,yes,yes,0,-
32,SA107-544,4416639085227405952,234.200399244092,-0.251857736472535,9.439,9.055,F3,no,yes,0,-
33,LTT6248,6210089815971933056,234.747350822352,-28.5943910799838,12.297,11.809,A,yes,yes,2,Warning spectral defects (>3%)
35,1743045,1634280312200704768,265.768702904378,66.9171161332907,13.807,13.54,A5,yes,yes,1,Warning minor spectral defects (<3%)
36,1805292,2161093682102883712,271.371964265354,64.4645243997881,12.444,12.323,A6,yes,yes,0,-
37,1812095,2160839724980689408,273.039903773545,63.4950776393343,11.964,11.783,A5,yes,yes,0,-
39,LTT1020,5024640977840398848,28.7110174709711,-27.4776256173151,12.069,11.536,G,yes,yes,1,Warning minor spectral defects (<3%)
40,LTT1788,4855735169813450624,57.0954461243496,-39.1444568549307,13.644,13.175,F,yes,yes,0,-
41,LTT3864,5444093531284061568,158.055318021729,-35.6282731876392,12.679,12.179,F,no,yes,1,Warning minor spectral defects (<3%)
43,P177-D,1399559249961569792,239.806525208262,47.6116472532486,14.151,13.5,G0,yes,yes,0,-
45,KF08T3,1633294634388508416,268.81758934756,66.16986234513,14.275,13.326,K0,yes,yes,1,Warning minor spectral defects (<3%)
47,KF06T2,1633376204407124352,269.658317766235,66.7811227079221,15.143,13.972,K1,yes,yes,1,Warning minor spectral defects (<3%)
49,LTT7379,6709878766312642944,279.107071467811,-44.3109623906784,10.845,10.25,G0,yes,yes,1,Warning minor spectral defects (<3%)
50,EG131,4201781696994073472,290.145237641521,-7.66740430434234,12.367,12.324,DBQA5,yes,yes,0,-
101,WD0046+051,2552928187080872832,12.2967402504623,5.37655660842636,12.908,12.402,DZ7,no,yes,2,Warning spectral defects (>3%)
109,CPD-201123,2941993086693170176,91.5558439367335,-20.3520967052652,11.861,12.064,DA,yes,yes,0,-
110,WD0621-376,5575007845317435648,95.8029496345606,-37.691134550172,11.771,12.09,DA1,yes,yes,1,Warning minor spectral defects (<3%)
112,WD0644+375,943770757800160384,101.90700342613,37.5116828235924,11.959,12.056,DA2,yes,yes,0,-
115,G114-25,5757389920689415040,134.765008907721,-6.39833844729725,12.515,11.954,F7,yes,yes,1,Warning minor spectral defects (<3%)
119,WD1031-114,3754712881779364992,158.426617936866,-11.6941079122861,12.851,12.996,DA2,yes,yes,2,Warning spectral defects (>3%)
121,WD1105-048,3788194488314248832,166.999545570561,-5.15919900918381,13.093,13.068,DA3,yes,yes,0,-
129,HD106355,3520997013687539712,183.543931263851,-17.2389957059609,11.238,10.104,G8IV (DAH),no,yes,2,Warning spectral defects (>3%)
130,G14-24,3685507214745543040,195.506612323622,-2.09155599342318,13.573,12.844,K0,yes,yes,0,-
132,G15-10,6335641365117256192,227.442043877693,-4.75393473333915,12.688,12.036,G2,no,yes,2,Warning spectral defects (>3%)
133,G224-83,1639946061258413312,236.559090930285,62.4436313822573,13.344,12.764,K,yes,yes,0,-
134,G16-20,4412702764879270656,239.577172217631,2.05062583166646,11.424,10.822,K,yes,yes,0,-
135,WD1615-154,4328293291578459392,244.479376458106,-15.5985511238621,13.226,13.44,DA2,yes,yes,2,Warning spectral defects (>3%)
136,G180-58,1406378695954996352,247.068633034493,44.6742195149161,12.005,11.32,G/K,yes,yes,0,-
139,G170-47,4569481097095820032,263.171820830984,23.7361711079102,9.561,8.923,G0,yes,yes,0,-
141,WD1845+019,4279269469712040832,281.912599923225,1.95948106021518,12.772,12.963,DA2,yes,yes,1,Warning minor spectral defects (<3%)
144,WD1919+145,4319908862597055232,290.418256360786,14.6778304271879,13.062,12.995,DA3,yes,yes,1,Warning minor spectral defects (<3%)
145,G23-14,4296558843393685632,297.956032425875,5.61175206760725,11.498,10.76,G5,yes,yes,0,-
146,WD2032+248,1831553382794173824,308.589207060234,25.0613155643196,11.453,11.539,DA2,yes,yes,1,Warning minor spectral defects (<3%)
147,G24-25,4228176122142169600,310.067733470154,0.554843600670077,11.176,10.567,G0,no,yes,1,Warning minor spectral defects (<3%)
149,WD2047+372,1871118140493076224,312.278823025747,37.4712279654849,13.088,12.997,DA3,yes,yes,0,-
156,WD0004+330,2874319284171715968,1.88400089917478,33.2907274995143,13.55,13.843,DA1,yes,yes,0,-
158,WD0018-267,2323394345824851584,5.37808635539623,-26.4365055072963,14.489,13.819,DA9,no,yes,0,-
159,WD0050-332,5006486048001153792,13.3224525349023,-32.9989119214766,,,DA1,no,yes,0,-
161,WD0109-264,5033887183435272064,18.0486034393828,-26.224330624187,12.883,13.136,DA1,no,yes,0,-
168,WD0455-282,4880286371109059712,74.3057627355402,-28.1312635449978,13.655,13.964,DA1,yes,yes,0,-
170,WD0501-289,4876967941937370368,75.9817014980788,-28.9092986287982,13.572,13.905,DO,yes,yes,2,Warning spectral defects (>3%)
173,WD0646-253,2921786919133198848,102.233566095406,-25.3962251210832,13.467,13.669,DA2,no,yes,1,Warning minor spectral defects (<3%)
174,G193-26,987911506794398976,105.860930769837,54.8674411475269,13.564,13.007,G,yes,yes,0,-
175,WD0721-276,5612710511362093184,110.833906212485,-27.7894154756967,14.216,14.499,DA1,no,yes,1,Warning minor spectral defects (<3%)
177,WD0749-38,5538507082940921472,117.886000351635,-38.4768321632797,13.688,13.832,DA,yes,no,-1,Non photometric
191,G167-50,1272306378368710528,233.879623002642,27.8498895181725,14.225,13.555,G,yes,yes,0,-
192,G179-54,1377578947371340032,236.533317147251,39.2381900401698,14.095,13.534,F,yes,yes,2,To be rejected because of close companion
193,WD1606+422,1384866854036828032,242.091686328859,42.0959059912203,13.959,13.827,DA4,yes,yes,0,-
194,WD1626+368,1331106782752978688,247.101437359407,36.7743872653757,14.025,13.845,DZA6,yes,yes,2,Warning spectral defects (>3%)
201,WD2004-605,6443328221136801920,302.274290619232,-60.428789071739,13.099,13.38,DA1,yes,yes,2,Warning spectral defects (>3%)
204,WD2039-682,6424566979354709248,311.091579964847,-68.0902800627278,13.356,13.345,DA3,no,yes,0,-
205,WD2111+498,2166111956258599680,318.184133625887,50.1048957083907,12.799,13.074,DA1,yes,yes,0,-
206,WD2105-820,6348672845649310464,318.328479933158,-81.8219328385306,13.839,13.642,DA5,no,yes,0,-
211,WD2140+207,1792830060723673472,325.669790050042,20.996591687684,13.414,13.267,DQ6,yes,yes,1,Warning minor spectral defects (<3%)
214,WD2329+407,1923682286712356992,352.900143653496,41.0247524339026,13.868,13.865,DA3,yes,yes,0,-
215,WD2331-475,6528109879126984960,353.509085928262,-47.2408463403959,13.183,13.474,DA1,no,yes,2,To be rejected because of close companion
217,WD0038+555,418491412783587200,10.3443441044194,55.8353417302784,14.101,14.065,DQ5,yes,yes,1,Warning minor spectral defects (<3%)
218,WD0047-524,4922382445088509312,12.5162097268683,-52.1375068408948,14.173,14.241,DA2,yes,yes,0,-
220,WD0123-262,5037084872486444928,21.3531097516566,-26.0146783675608,15.375,15.061,DC,yes,yes,1,Warning minor spectral defects (<3%)
221,G245-31,532196686212705536,24.6667626900443,69.6334849895573,15.268,14.498,K,yes,yes,0,-
238,WD1056-384,5393763111644515968,164.582841272362,-38.7401458872752,13.887,14.065,DA1,yes,no,-1,Blue/red spectra mismatch
248,WD1408+323,1478363619145920640,212.612350476945,32.1421819602914,13.939,13.982,DA3,yes,yes,0,-
250,WD1509+322,1276688069644366592,227.86423379804,32.0719163073367,14.193,14.112,DA3,yes,yes,0,-
259,G184-17,4524670913035545344,280.121215103044,19.6006886053997,14.932,14.103,K,no,yes,1,Warning minor spectral defects (<3%)
262,WD1914-598,6446197877766956800,289.686634377382,-59.7762897672887,14.351,14.429,DA,yes,yes,1,Warning minor spectral defects (<3%)
266,WD2034-532,6471102606408911360,309.570829179205,-53.0744838204178,14.293,14.381,DB4,no,yes,1,Warning minor spectral defects (<3%)
271,WD2134+218,1793946026371051648,324.150049602427,22.0759362908444,14.44,14.473,DA3,yes,yes,0,-
276,WD2216-657,6404417771644764160,334.953439202275,-65.4910593911147,14.678,14.559,DZ5,no,yes,0,-
279,WD2251-634,6394241555306538240,343.795020465281,-63.1756998689012,14.093,14.172,DA,no,yes,2,Warning spectral defects (>3%)
281,WD2352+401,1921351390779081600,358.735717649297,40.4558492358028,15.159,14.976,DQ6,yes,yes,2,Warning spectral defects (>3%)
300,WD2117+539,2176116580055936512,319.733782294552,54.2123152866867,12.428,12.354,DA3,no,yes,0,-
305,WD2309+105,2810585920868186240,348.090695718523,10.7844294599945,12.796,13.121,DA1,yes,yes,1,Warning minor spectral defects (<3%)
307,WD0859-039,5762406957886626816,135.57206088916,-4.11538359594736,13.036,13.175,DA2,yes,yes,2,Warning spectral defects (>3%)
308,WD1034+001,3806885288337214848,159.26544728896,-0.138517547591573,12.882,13.244,DOZ1,yes,yes,2,Warning spectral defects (>3%)
309,2MASSJ17571324+6703409,1633585107317144960,269.305143753686,67.0612637971276,12.075,11.823,A3,yes,yes,0,-
311,BD+661071,2161721571962091136,270.54552344984,66.207332392189,10.995,10.595,F5,yes,yes,0,-
313,M5-S1490,4421525074384092032,229.41101200544,2.04026405692908,15.102,14.123,-,yes,yes,1,Warning minor spectral defects (<3%)
314,SA104-428,3695913095870312576,190.421990464837,-0.440606556508916,13.636,12.672,G8,yes,yes,2,Warning spectral defects (>3%)
315,SA104-490,3683915053189161728,191.139402166791,-0.431040598665528,13.134,12.598,G3,yes,yes,0,-
320,sdss09310,845789153480087936,174.510730638348,57.4899192871251,15.327,15.048,A0/F3,yes,yes,0,-
324,sdss09626,1487827631122772992,217.462638397757,39.4737411063659,15.224,15.056,A0,yes,yes,0,-
327,GJ70,2560771312759450496,25.8321966703578,4.31825535642992,12.465,10.955,M2,no,yes,2,Warning spectral defects (>3%)
328,HG7-15,3277270538903180160,57.0502178794369,7.14627241567302,12.161,10.848,M1,yes,yes,1,Warning minor spectral defects (<3%)
334,GJ2097,3943234217765374336,196.767524673553,20.8103815956237,13.992,12.487,M1,yes,yes,1,Warning minor spectral defects (<3%)
336,GJ521,1503625448550796032,204.850154394475,46.1882193906256,11.628,10.241,M2,yes,yes,1,Warning minor spectral defects (<3%)
339,GJ745A,4519789321942643072,286.7709107523,20.8864875178788,12.38,10.797,M2,yes,yes,1,Warning minor spectral defects (<3%)
340,GJ745B,4519789081415296128,286.802729640277,20.8755384014847,12.36,10.765,M2,yes,yes,1,Warning minor spectral defects (<3%)
344,HD270422,4659706918202567936,89.1990461024895,-66.6512954015049,10.948,10.021,G0,yes,no,-1,Non photometric - high airmass
345,HD270477,4659680529922228096,89.8890579895031,-67.0203677057111,10.787,10.403,F8,yes,yes,0,-
346,HD271747,4755812790042069888,89.9943363225399,-66.1024375344835,12.071,11.473,G0,yes,yes,0,-
347,HD271759,5476400477145058816,90.1722769588903,-66.0537054333949,11.093,10.873,A2,yes,yes,2,Warning spectral defects (>3%)
348,HD271783,5284204302730217984,90.5476076716684,-66.5830206025,12.539,11.955,F5,yes,yes,2,Warning spectral defects (>3%)
349,HIP28618,5284151216932205312,90.6161558243931,-66.7912833524641,12.143,12.282,B8,yes,no,-1,Non photometric - spectral defects
350,LTT377,5006921282807193856,10.3751210516697,-33.6266803940239,11.97,10.53,K9,yes,yes,1,Warning minor spectral defects (<3%)
352,LP885-23,5020116556211470848,31.7777220536097,-30.4070142039846,15.721,14.15,M0,no,yes,1,Warning minor spectral defects (<3%)
